contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
IBIT270617C00001000,2026-04-16 18:34:14+00:00,1.0,41.4,41.25,45.1,0.0,0.0,5.0,196,2.160160849609375,True,REGULAR,USD,call
IBIT270617C00002000,2026-04-29 17:01:16+00:00,2.0,41.46,40.35,42.95,0.0,0.0,1.0,2,2.685550161132813,True,REGULAR,USD,call
IBIT270617C00003000,2026-05-04 14:06:25+00:00,3.0,42.09,39.7,42.05,0.0,0.0,,1,2.236332534179687,True,REGULAR,USD,call
IBIT270617C00005000,2026-05-07 14:11:04+00:00,5.0,41.2,38.8,40.05,0.0,0.0,1.0,6053,1.3320345898437496,True,REGULAR,USD,call
IBIT270617C00006000,2026-04-06 15:07:05+00:00,6.0,34.17,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT270617C00009000,2026-04-10 17:26:43+00:00,9.0,33.41,35.8,37.95,0.0,0.0,,2,1.4521511767578126,True,REGULAR,USD,call
IBIT270617C00010000,2026-03-19 13:30:02+00:00,10.0,30.84,34.1,36.9,0.0,0.0,1.0,22,1.2529334228515623,True,REGULAR,USD,call
IBIT270617C00012000,2026-04-20 13:30:01+00:00,12.0,32.1,31.6,33.8,0.0,0.0,,1,0.8876964355468748,True,REGULAR,USD,call
IBIT270617C00013000,2026-04-14 18:41:57+00:00,13.0,30.4,32.0,34.5,0.0,0.0,,1,1.1940958264160155,True,REGULAR,USD,call
IBIT270617C00014000,2026-04-01 14:18:41+00:00,14.0,26.75,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT270617C00015000,2026-05-08 14:15:59+00:00,15.0,31.66,29.75,31.15,0.0,0.0,1.0,28,0.9150399121093751,True,REGULAR,USD,call
IBIT270617C00018000,2026-03-30 17:50:17+00:00,18.0,22.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call
IBIT270617C00020000,2026-05-21 15:21:32+00:00,20.0,25.6,25.65,26.35,0.0,0.0,402.0,2281,0.7814963256835938,True,REGULAR,USD,call
IBIT270617C00022000,2026-04-17 19:44:17+00:00,22.0,24.4,23.9,24.65,0.0,0.0,51.0,51,0.7397486962890624,True,REGULAR,USD,call
IBIT270617C00023000,2026-05-06 18:50:10+00:00,23.0,25.7,23.05,23.8,0.0,0.0,,90,0.72070591796875,True,REGULAR,USD,call
IBIT270617C00024000,2026-05-07 16:12:47+00:00,24.0,23.96,22.3,23.0,0.0,0.0,2.0,7,0.7102079760742188,True,REGULAR,USD,call
IBIT270617C00025000,2026-05-18 16:14:18+00:00,25.0,21.17,21.4,22.15,0.0,0.0,6.0,1290,0.6879914013671876,True,REGULAR,USD,call
IBIT270617C00026000,2026-05-18 18:29:43+00:00,26.0,20.22,20.65,21.35,0.0,0.0,1.0,5,0.6762727685546877,True,REGULAR,USD,call
IBIT270617C00027000,2026-05-18 19:01:25+00:00,27.0,19.55,19.9,20.55,0.0,0.0,1.0,4,0.6639437902832033,True,REGULAR,USD,call
IBIT270617C00028000,2026-04-27 15:49:51+00:00,28.0,19.42,19.05,19.8,0.0,0.0,1.0,10,0.6486851538085938,True,REGULAR,USD,call
IBIT270617C00029000,2026-05-14 19:48:26+00:00,29.0,20.75,18.35,19.05,0.0,0.0,1.0,2319,0.639652041015625,True,REGULAR,USD,call
IBIT270617C00030000,2026-05-21 19:57:52+00:00,30.0,17.95,17.6,18.3,0.5799999,3.3390899,4.0,1441,0.6278113391113282,True,REGULAR,USD,call
IBIT270617C00031000,2026-05-08 15:36:15+00:00,31.0,18.5,16.9,17.55,0.0,0.0,1.0,25,0.617313397216797,True,REGULAR,USD,call
IBIT270617C00032000,2026-05-20 15:49:31+00:00,32.0,16.45,16.15,16.8,0.0,0.0,80.0,43,0.6042520043945314,True,REGULAR,USD,call
